league,season,position,team,team,matches,wins,draws,loses,scored,missed,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff
La_liga,2018,1,Sevilla,Sevilla,38,17.0,8.0,13.0,62.0,47.0,59.0,69.162306,7.162306000000001,64.54245300000001,46.710732,-0.28926799999999986,41.508815,23.033638,10.65203081464584,10.020620488210044,321.0,211.0,65.07809999999999,6.078099999999992
La_liga,2018,2,Real Sociedad,Real Sociedad,38,13.0,11.0,14.0,45.0,46.0,50.0,47.987101,2.9871010000000027,40.554466,48.09443999999999,2.0944399999999916,45.683969999999995,-5.129504000000001,9.943556360727678,9.48877103532691,194.0,208.0,51.12550000000001,1.1255000000000095
La_liga,2018,3,Espanyol,Espanyol,38,14.0,11.0,13.0,48.0,50.0,53.0,50.157346,2.157345999999997,47.184228000000004,54.61608600000001,4.61608600000001,48.548747000000006,-1.364519,9.856488791776902,9.819171281248202,241.0,241.0,50.08829999999999,-2.9117000000000104
La_liga,2018,4,Getafe,Getafe,38,15.0,14.0,9.0,48.0,35.0,59.0,47.03417800000001,-0.9658219999999886,42.57815100000001,44.22604100000001,9.22604100000001,39.02311,3.5550409999999992,8.766903297859301,5.700771442750934,186.0,196.0,53.1872,-5.812800000000003
La_liga,2018,5,Atletico Madrid,Atletico Madrid,38,22.0,10.0,6.0,55.0,29.0,76.0,51.872324,-3.127676000000001,48.730936,41.434059000000005,12.434059000000005,37.71779400000001,11.013142,11.066204538602875,11.104778106436122,252.0,190.0,59.4276,-16.572400000000002
La_liga,2018,6,Rayo Vallecano,Rayo Vallecano,38,8.0,8.0,22.0,41.0,70.0,32.0,47.233183000000004,6.233183000000004,43.51769100000001,62.318235,-7.681764999999999,54.001658,-10.483967,9.531583380516217,7.522984466152093,133.0,253.0,43.015,11.015
La_liga,2018,7,Valencia,Valencia,38,15.0,16.0,7.0,51.0,35.0,61.0,61.88494899999999,10.884948999999992,56.56901899999999,42.854366999999996,7.854366999999996,36.908409999999996,19.660608999999997,12.964657587277863,9.474006705870321,278.0,215.0,65.1616,4.161600000000007
La_liga,2018,8,Athletic Club,Athletic Club,38,13.0,14.0,11.0,41.0,45.0,53.0,44.441323999999994,3.4413239999999945,38.91707899999999,47.158818000000004,2.1588180000000037,43.442428,-4.525348999999998,8.304491872691997,11.302557686903405,221.0,185.0,50.01219999999999,-2.987800000000007
La_liga,2018,9,Barcelona,Barcelona,38,26.0,9.0,3.0,90.0,36.0,87.0,83.279534,-6.720466000000002,76.584704,44.93095,8.930950000000003,43.4444,33.14030400000001,9.01526390151714,16.404884844687324,417.0,171.0,73.96039999999999,-13.039600000000007
La_liga,2018,10,Real Madrid,Real Madrid,38,21.0,5.0,12.0,63.0,46.0,68.0,68.65477299999999,5.654772999999992,61.965525,48.67575300000001,2.6757530000000074,42.72966400000001,19.235861,8.896578362734848,14.782500589542508,341.0,168.0,64.7728,-3.2271999999999963
La_liga,2018,11,Levante,Levante,38,11.0,11.0,16.0,59.0,66.0,44.0,54.088913000000005,-4.911086999999995,48.88635900000001,78.86325499999998,12.863254999999981,72.01381799999999,-23.127458999999998,10.581995110215345,7.043106727634993,206.0,295.0,40.23330000000001,-3.766699999999993
La_liga,2018,12,Celta Vigo,Celta Vigo,38,10.0,11.0,17.0,53.0,62.0,41.0,48.699852000000014,-4.300147999999986,43.49692900000001,63.42950000000001,1.4295000000000115,58.22655400000001,-14.729625000000004,10.772791434260554,11.755188285583776,195.0,248.0,41.626,0.6259999999999977
La_liga,2018,13,Real Betis,Real Betis,38,14.0,8.0,16.0,44.0,52.0,50.0,51.67742500000001,7.677425000000007,46.35324500000001,53.544731999999996,1.5447319999999962,49.828349,-3.475103999999999,9.316620850951312,12.381684934755219,241.0,220.0,52.3904,2.3903999999999996
La_liga,2018,14,Villarreal,Villarreal,38,10.0,14.0,14.0,49.0,52.0,44.0,54.79973999999999,5.799739999999993,50.32650399999999,56.118148,4.118147999999998,52.402151,-2.075647,11.152921069614612,11.173710155519865,232.0,263.0,52.179899999999996,8.179899999999996
La_liga,2018,15,Eibar,Eibar,38,11.0,14.0,13.0,46.0,50.0,47.0,56.63360599999999,10.633605999999993,50.687380999999995,47.884204999999994,-2.1157950000000056,44.91108499999999,5.776295999999998,7.067694653568081,11.22432396160439,235.0,177.0,56.75300000000001,9.753000000000007
La_liga,2018,16,Alaves,Alaves,38,13.0,11.0,14.0,39.0,50.0,50.0,40.873013,1.8730130000000003,38.643174,54.532087999999995,4.532087999999995,50.07242099999999,-11.429247,11.228230078782055,7.0967098226913485,129.0,270.0,44.0162,-5.983800000000002
La_liga,2018,17,Leganes,Leganes,38,11.0,12.0,15.0,37.0,43.0,45.0,41.249284,4.249284000000003,37.533149,43.93660099999999,0.9366009999999889,40.79521999999999,-3.2620710000000006,12.471570785777814,9.964576074877924,155.0,190.0,51.14569999999999,6.145699999999991
La_liga,2018,18,Girona,Girona,38,9.0,10.0,19.0,37.0,53.0,37.0,42.986638,5.986637999999999,38.527246999999996,55.334056000000004,2.334056000000004,49.387950000000004,-10.860702999999999,11.390453112552802,9.856544635171401,177.0,261.0,45.1656,8.165599999999998
La_liga,2018,19,Real Valladolid,Real Valladolid,38,10.0,11.0,17.0,32.0,51.0,41.0,41.641546999999996,9.641546999999996,36.438739,57.64732499999999,6.647324999999988,50.82946199999999,-14.390723,11.450773336204,9.834414454214564,139.0,243.0,41.7997,0.7997000000000014
La_liga,2018,20,SD Huesca,SD Huesca,38,7.0,12.0,19.0,43.0,65.0,33.0,51.37756899999999,8.377568999999987,46.17501199999999,63.425214000000004,-1.574785999999996,56.735985,-10.560972999999997,10.221756055844528,8.701259696940417,171.0,259.0,44.9625,11.962499999999999
La_liga,2014,1,Malaga,Malaga,38,14.0,8.0,16.0,42.0,48.0,50.0,46.221008,4.221007999999998,40.878338,54.130818,6.130817999999998,49.515437,-8.637099,7.792069340315362,7.0190679410732155,184.0,184.0,48.512800000000006,-1.4871999999999943
La_liga,2014,2,Sevilla,Sevilla,38,23.0,7.0,8.0,71.0,45.0,76.0,69.526624,-1.4733760000000018,62.094598999999995,47.86274200000001,2.8627420000000114,41.91652900000001,20.17807,8.276147614918788,9.477804782000847,305.0,168.0,67.38669999999999,-8.61330000000001
La_liga,2014,3,Deportivo La Coruna,Deportivo La Coruna,38,7.0,14.0,17.0,35.0,60.0,35.0,37.8712378,2.871237800000003,32.5058868,50.979304199999994,-9.020695800000006,46.5197612,-14.013874399999997,9.872519602819814,7.921498201535551,133.0,188.0,43.52490000000001,8.52490000000001
La_liga,2014,4,Real Sociedad,Real Sociedad,38,11.0,13.0,14.0,44.0,51.0,46.0,33.48519699999999,-10.514803000000008,31.255367999999997,51.158117999999995,0.15811799999999465,46.536026,-15.280657999999999,8.614234642115406,8.829567437616348,146.0,168.0,38.7818,-7.218200000000003
La_liga,2014,5,Espanyol,Espanyol,38,13.0,10.0,15.0,47.0,51.0,49.0,43.979193,-3.020806999999998,41.006215,48.3039158,-2.6960842000000014,47.5606418,-6.554426800000002,9.381753858685475,7.158217400854432,173.0,205.0,50.385000000000005,1.3850000000000051
La_liga,2014,6,Getafe,Getafe,38,10.0,7.0,21.0,33.0,64.0,37.0,33.9685805,0.9685805000000016,32.482020500000004,53.673382,-10.326618000000003,47.728197,-15.2461765,10.145485655483894,7.2356602973749355,114.0,221.0,40.103100000000005,3.103100000000005
La_liga,2014,7,Atletico Madrid,Atletico Madrid,38,23.0,9.0,6.0,67.0,29.0,78.0,57.047670000000004,-9.952329999999996,52.588007999999995,29.069107100000004,0.06910710000000364,26.839271100000005,25.748736900000004,8.982028430893806,9.237090640679778,197.0,123.0,73.13530000000002,-4.864699999999985
La_liga,2014,8,Rayo Vallecano,Rayo Vallecano,38,15.0,4.0,19.0,46.0,68.0,49.0,47.790696,1.790695999999997,45.56086799999999,70.43346,2.4334599999999966,65.9738,-20.412932000000005,6.157978375576059,9.73510921556125,147.0,219.0,43.54550000000001,-5.454499999999989
La_liga,2014,9,Valencia,Valencia,38,22.0,11.0,5.0,70.0,32.0,77.0,55.06250000000001,-14.937499999999993,49.703978,39.392571999999994,7.392571999999994,33.446477,16.257500999999998,8.709827299105735,7.870224725817145,203.0,172.0,63.70679999999999,-13.293200000000013
La_liga,2014,10,Athletic Club,Athletic Club,38,15.0,10.0,13.0,42.0,41.0,55.0,45.5421507,3.5421507000000005,41.82615070000001,44.1067075,3.106707499999999,41.7371605,0.08899019999999946,7.462405547667465,9.403964980727908,183.0,171.0,53.35850000000001,-1.6414999999999935
La_liga,2014,11,Barcelona,Barcelona,38,30.0,4.0,4.0,110.0,21.0,94.0,102.98015200000002,-7.019847999999982,97.777212,28.444292700000002,7.444292700000002,24.727906700000005,73.0493053,5.683534703382722,16.367592989090525,489.0,114.0,94.0813,0.08129999999999882
La_liga,2014,12,Real Madrid,Real Madrid,38,30.0,2.0,6.0,118.0,38.0,92.0,95.76624299999999,-22.23375700000001,86.10389500000001,42.607198,4.607197999999997,38.89080499999999,47.21309,10.209085456325049,12.929510106152211,351.0,153.0,81.7489,-10.251099999999994
La_liga,2014,13,Levante,Levante,38,9.0,10.0,19.0,34.0,67.0,37.0,35.301705299999995,1.3017052999999947,32.3286043,60.270317,-6.729683000000001,54.181697,-21.853092699999998,12.379267906551261,7.501470880491499,97.0,224.0,37.6046,0.6045999999999978
La_liga,2014,14,Celta Vigo,Celta Vigo,38,13.0,12.0,13.0,47.0,44.0,51.0,58.887332,11.887332,54.42766400000001,51.777138,7.777138000000001,46.574205000000006,7.853458999999999,6.056172520220023,10.882769437017172,287.0,207.0,55.04879999999999,4.048799999999993
La_liga,2014,15,Villarreal,Villarreal,38,16.0,12.0,10.0,48.0,37.0,60.0,56.767999,8.767999000000003,55.281438,40.70181300000001,3.7018130000000085,38.47197700000001,16.809461000000006,10.072084889245291,8.67965958232626,242.0,171.0,62.73629999999999,2.736299999999993
La_liga,2014,16,Granada,Granada,38,7.0,14.0,17.0,29.0,64.0,35.0,37.3872751,8.387275099999997,32.9275981,54.283784000000004,-9.716215999999996,51.310678,-18.3830799,8.924796294868555,7.551742401644589,117.0,206.0,45.7345,10.734499999999997
La_liga,2014,17,Eibar,Eibar,38,9.0,8.0,21.0,34.0,55.0,35.0,29.5601069,-4.439893099999999,28.0735569,53.71796199999999,-1.2820380000000071,50.001574999999995,-21.928018099999996,9.636161419876487,8.056607783421207,106.0,225.0,35.65370000000001,0.6537000000000077
La_liga,2014,18,Cordoba,Cordoba,38,3.0,11.0,24.0,22.0,68.0,20.0,29.7645145,7.764514500000001,27.5346865,57.33977599999999,-10.660224000000007,52.137326,-24.602639500000002,11.606826266670419,7.530367498117108,91.0,253.0,36.29120000000001,16.29120000000001
La_liga,2014,19,Elche,Elche,38,11.0,8.0,19.0,35.0,62.0,41.0,39.610853000000006,4.610853000000006,34.26564,58.071769999999994,-3.9282300000000063,51.382272,-17.116632000000003,9.517572254867796,8.623286731035208,107.0,216.0,40.671800000000005,-0.3281999999999954
La_liga,2014,20,Almeria,Almeria,38,8.0,8.0,22.0,35.0,64.0,32.0,38.66994449999999,3.6699444999999926,34.21026549999999,58.866805,-5.133195000000001,57.38025,-23.1699845,8.761424561450731,6.230163608502943,136.0,220.0,39.325500000000005,7.325500000000005
La_liga,2019,1,Sevilla,Sevilla,38,19.0,13.0,6.0,54.0,34.0,70.0,55.155506,1.1555060000000026,49.952825000000004,36.617301,2.6173009999999977,33.628775,16.32405,8.411132881656778,12.64235712018878,238.0,148.0,65.705,-4.295000000000002
La_liga,2019,2,Real Sociedad,Real Sociedad,38,16.0,8.0,14.0,56.0,48.0,56.0,50.915670999999996,-5.084329000000004,47.199543,41.885105,-6.114894999999997,35.196377999999996,12.003165000000001,8.649489058298101,11.924640540762097,231.0,192.0,57.17829999999999,1.178299999999993
La_liga,2019,3,Espanyol,Espanyol,38,5.0,10.0,23.0,27.0,58.0,25.0,37.002815,10.002814999999998,34.029712999999994,53.279323500000004,-4.720676499999996,47.91609249999999,-13.886379499999999,9.44130145852082,10.059594287249787,148.0,191.0,41.759,16.759
La_liga,2019,4,Getafe,Getafe,38,14.0,12.0,12.0,43.0,37.0,54.0,45.191234,2.1912340000000015,39.886634,43.0233834,6.0233834,38.56398539999999,1.322648599999999,7.005995471558769,6.3021446634857305,176.0,119.0,53.7878,-0.21220000000000283
La_liga,2019,5,Atletico Madrid,Atletico Madrid,38,18.0,16.0,4.0,51.0,27.0,70.0,58.700962999999994,7.7009629999999945,52.739450999999995,31.515192,4.515191999999999,28.542602999999996,24.196848000000003,9.68666457392411,10.994450336769816,264.0,162.0,72.3506,2.3506
La_liga,2019,6,Valencia,Valencia,38,14.0,11.0,13.0,46.0,53.0,53.0,45.57625499999999,-0.4237450000000109,39.630146999999994,59.073642,6.0736419999999995,52.384285,-12.754138000000001,14.086310827191369,10.543273106814919,217.0,262.0,45.42909999999999,-7.570900000000009
La_liga,2019,7,Athletic Club,Athletic Club,38,13.0,12.0,13.0,41.0,38.0,51.0,42.095594999999996,1.0955949999999959,34.595138999999996,52.419298,14.419297999999998,47.216359999999995,-12.621221,9.713230736697204,10.22501820716951,122.0,205.0,44.6548,-6.345199999999998
La_liga,2019,8,Barcelona,Barcelona,38,25.0,7.0,6.0,86.0,38.0,82.0,72.009449,-13.990550999999996,67.54978100000001,37.823949000000006,-0.17605099999999396,32.620992,34.928788999999995,8.25698835911264,17.96159753017072,440.0,146.0,73.1381,-8.861900000000006
La_liga,2019,9,Real Madrid,Real Madrid,38,26.0,9.0,3.0,70.0,25.0,87.0,72.15721800000001,2.1572180000000145,63.981449,33.146266,8.146265999999997,31.659709999999997,32.321739,9.262201903346336,14.476896911683774,334.0,127.0,77.6868,-9.313199999999995
La_liga,2019,10,Levante,Levante,38,14.0,7.0,17.0,47.0,53.0,49.0,49.427886,2.427886000000001,45.71175000000001,64.24935500000001,11.249355000000008,58.887592999999995,-13.175843,12.009367239143124,8.825311085972166,177.0,273.0,42.879000000000005,-6.120999999999995
La_liga,2019,11,Celta Vigo,Celta Vigo,38,7.0,16.0,15.0,37.0,49.0,37.0,40.441182999999995,3.441182999999995,33.75169149999999,44.82971099999998,-4.170289000000018,41.113454,-7.361762499999999,10.54406558348422,9.694045218604684,188.0,215.0,47.2581,10.258099999999999
La_liga,2019,12,Real Betis,Real Betis,38,10.0,11.0,17.0,48.0,60.0,41.0,48.898528,0.8985279999999989,42.95267799999999,56.30371600000001,-3.6962839999999915,48.127908000000005,-5.175229999999998,10.362791901460806,11.853481466052175,236.0,216.0,47.937099999999994,6.937099999999994
La_liga,2019,13,Villarreal,Villarreal,38,18.0,6.0,14.0,63.0,49.0,60.0,65.606501,2.6065009999999944,57.430565,48.589864999999996,-0.4101350000000039,41.8326854,15.5978796,10.900010043110615,12.067332101309582,218.0,228.0,64.0527,4.0527000000000015
La_liga,2019,14,Granada,Granada,38,16.0,8.0,14.0,52.0,45.0,56.0,45.021406999999996,-6.978593000000004,41.305020999999996,43.439237,-1.5607630000000015,39.723106,1.5819150000000004,10.176947001763747,7.772831901195273,135.0,197.0,52.596899999999984,-3.4031000000000162
